"square","start","region"
11,4377.56,"Чернігівська область"
21.8,134281.05,"Полтавська область"
30,51853.45,"Волинська область"
15.0572,11372.36,"Тернопільська область"
15.295,11796.23,"Тернопільська область"
4,9173.26,"Хмельницька область"
3.8828,6692.14,"Волинська область"
17.9585,8452.26,"Харківська область"
124.3,78070.47,"Полтавська область"
10.5672,8270.55,"Тернопільська область"
11.4207,33510,"Одеська область"
16.2096,41248.16,"Кіровоградська область"
0.4335,948.05,"Харківська область"
31.8413,9310.98,"Тернопільська область"
14.3875,9403.93,"Кіровоградська область"
10,27499.86,"Кіровоградська область"
65.0573,11198.12,"Чернігівська область"
0.7387,1186.53,"Львівська область"
17.0143,23580,"Одеська область"
0.031,2221,"Івано-Франківська область"
2.0333,6084.32,"Харківська область"
24.9548,108655.38,"Херсонська область"
10.1054,5330,"Одеська область"
0.1911,35929.85,"Львівська область"
4.0796,4461.57,"Полтавська область"
8.5248,10651.24,"Запорізька область"
37.0396,32790.25,"Кіровоградська область"
0.1,33849,"Дніпропетровська область"
8.8598,15640,"Одеська область"
85.0028,43830,"Дніпропетровська область"
9.7364,22200,"Одеська область"
11.44,8700.74,"Волинська область"
0.12,74.17,"Львівська область"
13.0012,6509.98,"Миколаївська область"
0.0297,5711.66,"Рівненська область"
2,7089.16,"Чернівецька область"
7.1787,15340,"Одеська область"
0.2318,91923.54,"Дніпропетровська область"
5.1708,9040.4,"Кіровоградська область"
6.25,11899.98,"Херсонська область"
20.0662,32170,"Одеська область"
0.1364,30255.6,"Запорізька область"
23.1032,45850,"Одеська область"
1.3767,4766.9,"Кіровоградська область"
3.7594,10530.02,"Сумська область"
0.1084,439.48,"Черкаська область"
2.6954,1207.4,"Чернівецька область"
17.3703,23865.42,"Донецька область"
